"Survival","white/white","white/LDS","LDS/white","LDS/LDS","R2 LDS","Sobol LDS","Survival Avg","white/white","white/LDS","LDS/white","LDS/LDS","R2 LDS","Sobol LDS","Survival Std Dev","white/white","white/LDS","LDS/white","LDS/LDS","R2 LDS","Sobol LDS"
"","1","1","3","2","2","1","","1.451001","1.388000","1.466001","1.382000","1.345000","1.401001","","0.795986","0.580910","0.810457","0.583158","0.532893","0.721245"
"","3","4","4","3","3","2","","2.965999","2.857000","2.916999","2.879000","2.786999","2.837997","","1.199526","0.854718","1.111802","0.876557","0.752085","0.978662"
"","7","5","5","5","5","3","","4.439999","4.345996","4.357998","4.322999","4.223004","4.272998","","1.424231","1.015056","1.345299","1.033767","0.870186","1.100232"
"","8","6","7","7","6","4","","5.929002","5.812000","5.818003","5.758001","5.701006","5.686997","","1.639485","1.202757","1.543636","1.166784","0.938897","1.335305"
"","9","8","8","8","7","7","","7.424999","7.279004","7.265004","7.201000","7.219005","7.271997","","1.882660","1.368614","1.706083","1.254037","1.096818","1.393579"
"","10","9","9","9","9","8","","8.960005","8.756997","8.725003","8.683007","8.738009","8.690001","","2.078991","1.500669","1.891920","1.347011","1.215412","1.505954"
"","11","10","13","10","10","9","","10.458001","10.225003","10.166994","10.153005","10.191998","10.139007","","2.284797","1.588175","2.042851","1.423872","1.328613","1.689235"
"","12","11","14","12","11","11","","11.943000","11.647996","11.681994","11.601995","11.650011","11.616995","","2.464085","1.651711","2.249206","1.530273","1.418141","1.782817"
"","13","12","15","13","12","12","","13.382003","13.139004","13.175994","13.061002","13.125001","13.063005","","2.565137","1.793747","2.409827","1.618395","1.571988","1.847958"
"","14","13","17","15","13","13","","14.873008","14.619008","14.685002","14.533010","14.602997","14.460999","","2.672215","1.890387","2.554924","1.653045","1.674993","1.938650"
"","16","14","18","16","14","14","","16.338017","16.131985","16.174007","16.001005","16.087008","15.925005","","2.796990","1.941410","2.650586","1.711945","1.726722","2.015258"
"","17","17","20","17","16","16","","17.793009","17.583012","17.632023","17.453022","17.554007","17.416973","","2.900990","1.999206","2.778066","1.775157","1.812963","2.092379"
