"Expected","0.107679","0.110592","0.111672","0.110976","0.108562","0.104487","0.098809","0.091585","0.082873","0.072731"
"white/white","0.120000","0.060000","0.120000","0.100000","0.100000","0.110000","0.080000","0.090000","0.100000","0.120000"
"white/LDS","0.070000","0.090000","0.160000","0.080000","0.150000","0.090000","0.120000","0.070000","0.110000","0.060000"
"LDS/white","0.090000","0.090000","0.120000","0.110000","0.110000","0.100000","0.090000","0.110000","0.090000","0.090000"
"LDS/LDS","0.100000","0.120000","0.110000","0.110000","0.090000","0.110000","0.120000","0.090000","0.080000","0.070000"
"R2 LDS","0.110000","0.100000","0.130000","0.090000","0.110000","0.110000","0.090000","0.110000","0.060000","0.090000"
"Sobol LDS","0.120000","0.120000","0.110000","0.130000","0.090000","0.100000","0.100000","0.090000","0.090000","0.050000"

"Error:"
"white/white","0.012321","-0.050592","0.008328","-0.010976","-0.008562","0.005513","-0.018809","-0.001585","0.017127","0.047269"
"white/LDS","-0.037679","-0.020592","0.048328","-0.030976","0.041438","-0.014487","0.021191","-0.021585","0.027127","-0.012731"
"LDS/white","-0.017679","-0.020592","0.008328","-0.000976","0.001438","-0.004487","-0.008809","0.018415","0.007127","0.017269"
"LDS/LDS","-0.007679","0.009408","-0.001672","-0.000976","-0.018562","0.005513","0.021191","-0.001585","-0.002873","-0.002731"
"R2 LDS","0.002321","-0.010592","0.018328","-0.020976","0.001438","0.005513","-0.008809","0.018415","-0.022873","0.017269"
"Sobol LDS","0.012321","0.009408","-0.001672","0.019024","-0.018562","-0.004487","0.001191","-0.001585","0.007127","-0.022731"

"Avg Error:"
"white/white","-0.001349","-0.001822","0.001998","0.001133","-0.000252","0.000123","-0.000519","-0.000105","0.000397","0.000429"
"white/LDS","0.000291","-0.001132","0.000818","-0.000176","0.000168","-0.000647","0.000371","0.001555","-0.000143","-0.001071"
"LDS/white","0.000071","-0.000042","-0.000122","-0.000146","-0.000012","-0.000537","0.000531","-0.000475","0.000147","0.000619"
"LDS/LDS","0.000361","-0.000592","0.000138","-0.000106","0.000188","-0.000067","0.000991","-0.000205","-0.000633","-0.000041"
"R2 LDS","-0.000329","-0.000232","-0.000092","-0.000307","0.000588","0.000053","0.000011","0.000735","-0.000983","0.000589"
"Sobol LDS","0.000251","-0.000112","-0.000082","0.000064","0.000548","0.000183","-0.000049","-0.000305","-0.000233","-0.000231"

"Std Dev:"
"white/white","0.030414","0.031269","0.031699","0.031510","0.030807","0.030477","0.029264","0.029339","0.026582","0.025997"
"white/LDS","0.031543","0.031059","0.029922","0.032052","0.031332","0.029981","0.029822","0.027748","0.026841","0.026093"
"LDS/white","0.009769","0.008843","0.008336","0.008579","0.009601","0.010700","0.012048","0.013125","0.014990","0.015148"
"LDS/LDS","0.007479","0.007603","0.007445","0.007610","0.007792","0.007952","0.009506","0.010558","0.010751","0.010958"
"R2 LDS","0.013486","0.013880","0.013945","0.013786","0.013933","0.013498","0.013653","0.013595","0.014040","0.013616"
"Sobol LDS","0.009242","0.008897","0.008965","0.009258","0.009639","0.009761","0.009769","0.010494","0.010556","0.011321"
