"Survival","white/white","white/LDS","LDS/white","LDS/LDS","R2 LDS","Sobol LDS","Survival Avg","white/white","white/LDS","LDS/white","LDS/LDS","R2 LDS","Sobol LDS","Survival Std Dev","white/white","white/LDS","LDS/white","LDS/LDS","R2 LDS","Sobol LDS"
"","1","1","1","1","1","1","","1.154001","1.155001","1.143999","1.122001","1.137002","1.145002","","0.415069","0.361904","0.411419","0.327285","0.343844","0.399963"
"","2","2","2","2","2","2","","2.314002","2.322000","2.301001","2.290001","2.267001","2.267001","","0.625621","0.523749","0.569560","0.495881","0.477187","0.507649"
"","3","4","3","3","3","3","","3.479001","3.464999","3.470000","3.422002","3.393998","3.442000","","0.784570","0.621914","0.700782","0.613113","0.557471","0.642366"
"","4","5","4","4","4","4","","4.628000","4.615003","4.640000","4.582003","4.527010","4.547997","","0.893105","0.700540","0.836907","0.730256","0.605966","0.679504"
"","5","7","5","5","5","5","","5.772007","5.792002","5.776003","5.753002","5.706007","5.691004","","1.000951","0.781494","0.919681","0.829430","0.641419","0.716565"
"","6","9","6","6","6","6","","6.919999","6.942999","6.936997","6.911002","6.838993","6.866996","","1.098033","0.863573","0.980335","0.924697","0.712162","0.775474"
"","7","10","7","7","8","7","","8.061991","8.079008","8.101997","8.061004","8.022005","7.997994","","1.179092","0.915747","1.044767","1.001620","0.746610","0.806295"
"","8","11","8","8","9","9","","9.201994","9.214999","9.267998","9.219008","9.157001","9.129000","","1.271768","0.961680","1.116361","1.062489","0.808933","0.849899"
"","9","12","10","9","10","10","","10.345989","10.359997","10.424011","10.379006","10.318014","10.315001","","1.320815","1.003241","1.225558","1.123021","0.848902","0.922925"
"","10","13","11","11","11","11","","11.502002","11.524009","11.569996","11.546011","11.459012","11.472999","","1.384902","1.049474","1.280291","1.183059","0.917462","0.965065"
"","11","14","12","13","12","13","","12.661013","12.687996","12.703002","12.681997","12.587000","12.654995","","1.438614","1.101258","1.331464","1.225934","0.944755","1.069714"
"","12","15","13","14","13","14","","13.813999","13.843002","13.859997","13.850000","13.739995","13.809011","","1.497796","1.157707","1.387263","1.255208","0.973965","1.079857"
"","13","16","14","15","14","15","","14.968999","14.985014","14.999002","15.003009","14.894001","14.906004","","1.560805","1.206032","1.453566","1.310266","1.028976","1.087636"
"","14","17","15","16","15","17","","16.116013","16.140022","16.178015","16.126991","16.058010","16.048014","","1.615564","1.235042","1.511300","1.318057","1.113768","1.098691"
"","15","19","16","18","16","18","","17.261015","17.299995","17.323025","17.280012","17.213993","17.205000","","1.659048","1.278365","1.534177","1.311349","1.161359","1.126450"
"","16","20","17","19","17","19","","18.412991","18.445995","18.498995","18.410028","18.344019","18.370987","","1.717782","1.324743","1.627440","1.306324","1.176826","1.140224"
"","17","21","18","20","18","20","","19.556011","19.600039","19.639013","19.558014","19.482004","19.536037","","1.769906","1.365624","1.672204","1.293152","1.232730","1.174242"
"","18","22","19","21","20","21","","20.709023","20.751011","20.785999","20.700020","20.654009","20.689966","","1.810976","1.405197","1.719948","1.258334","1.268034","1.222887"
