"Survival","white/white","white/LDS","LDS/white","LDS/LDS","R2 LDS","Sobol LDS","Survival Avg","white/white","white/LDS","LDS/white","LDS/LDS","R2 LDS","Sobol LDS","Survival Std Dev","white/white","white/LDS","LDS/white","LDS/LDS","R2 LDS","Sobol LDS"
"","1","1","1","2","1","1","","1.169002","1.135000","1.163001","1.134000","1.154000","1.161001","","0.445460","0.344639","0.431774","0.343575","0.360950","0.398846"
"","2","2","2","4","2","2","","2.321999","2.277002","2.325003","2.273998","2.288999","2.278003","","0.623157","0.462885","0.582551","0.484702","0.493443","0.498705"
"","3","3","3","5","3","3","","3.492000","3.433001","3.440999","3.440999","3.416999","3.452000","","0.756259","0.584402","0.668221","0.631279","0.559572","0.641639"
"","4","4","4","7","4","4","","4.670003","4.566000","4.592001","4.604994","4.548007","4.547002","","0.874685","0.664572","0.775591","0.762249","0.609628","0.681025"
"","6","6","5","8","5","5","","5.829004","5.734006","5.707003","5.783002","5.682000","5.714000","","0.978640","0.753124","0.820410","0.862494","0.648717","0.745761"
"","7","7","6","9","6","6","","6.969002","6.876003","6.861998","6.936998","6.841001","6.863000","","1.030525","0.816444","0.914861","0.976248","0.705503","0.796420"
"","8","8","7","10","8","7","","8.132000","8.025005","8.027993","8.104995","8.009009","8.004997","","1.129001","0.882220","0.984561","1.050767","0.740829","0.836129"
"","9","9","8","12","9","8","","9.302997","9.184998","9.152000","9.244006","9.167997","9.150011","","1.234180","0.925633","1.038758","1.118147","0.823307","0.861007"
"","10","10","9","13","10","9","","10.456016","10.335003","10.284019","10.406997","10.337016","10.331000","","1.303725","0.978128","1.100436","1.167662","0.865514","0.907411"
"","11","11","10","14","11","10","","11.595988","11.505010","11.431992","11.543008","11.481998","11.495007","","1.366412","1.008925","1.173710","1.223935","0.929302","0.935822"
"","12","12","11","15","12","11","","12.754007","12.652007","12.581995","12.690015","12.619000","12.640002","","1.410318","1.088415","1.236697","1.250360","0.967363","1.030739"
"","13","13","13","16","13","12","","13.891007","13.818995","13.732002","13.821005","13.797997","13.797998","","1.469404","1.127919","1.272784","1.271561","0.998717","1.052189"
"","14","14","14","17","14","13","","15.035002","14.977985","14.898999","14.982002","14.966001","14.910008","","1.531584","1.159308","1.324726","1.268726","1.047356","1.075120"
"","17","15","15","18","15","14","","16.181007","16.102997","16.038010","16.126020","16.105028","16.067026","","1.576103","1.173306","1.369150","1.278770","1.108604","1.085207"
"","18","16","16","19","16","15","","17.338976","17.247004","17.233015","17.254004","17.245014","17.240992","","1.621503","1.219100","1.452610","1.286610","1.144831","1.100703"
"","19","17","18","20","17","16","","18.504007","18.384998","18.399002","18.406984","18.384996","18.405008","","1.696401","1.246357","1.510583","1.274480","1.192066","1.114918"
"","20","19","20","21","18","17","","19.641043","19.550020","19.568012","19.549021","19.550001","19.536993","","1.744804","1.280857","1.571954","1.248718","1.234350","1.142403"
"","22","20","21","22","19","18","","20.799019","20.698996","20.721016","20.708012","20.707014","20.687000","","1.777082","1.334395","1.610806","1.232816","1.263525","1.181975"
