"Survival","white/white","white/LDS","LDS/white","LDS/LDS","Survival Avg","white/white","white/LDS","LDS/white","LDS/LDS","Survival Std Dev","white/white","white/LDS","LDS/white","LDS/LDS"
"","2","1","2","1","","1.283000","1.182000","1.264000","1.175001","","0.615558","0.388429","0.544338","0.382586"
"","3","3","3","2","","2.543001","2.405001","2.488999","2.383000","","0.811262","0.552244","0.732040","0.521833"
"","4","4","4","4","","3.842000","3.661000","3.713999","3.628002","","0.990475","0.676812","0.900122","0.599670"
"","5","5","7","5","","5.090002","4.882998","4.960001","4.847006","","1.141014","0.792043","1.080917","0.677881"
"","6","6","9","6","","6.350002","6.151999","6.215997","6.145000","","1.265492","0.876862","1.182938","0.715516"
"","7","7","10","7","","7.615001","7.381000","7.452006","7.359001","","1.374321","0.970473","1.282809","0.786217"
"","8","8","11","8","","8.850999","8.637003","8.688006","8.624998","","1.446703","1.066392","1.397338","0.862835"
"","9","9","12","10","","10.131998","9.882006","9.936007","9.863011","","1.584503","1.120689","1.500587","0.905547"
"","10","11","13","11","","11.403009","11.131999","11.181993","11.104011","","1.706540","1.174116","1.602191","0.938582"
"","12","12","14","12","","12.634997","12.367002","12.439993","12.346993","","1.808320","1.232977","1.699627","0.960548"
"","14","13","15","13","","13.880998","13.639001","13.723003","13.610996","","1.887034","1.289518","1.795031","1.012940"
"","16","14","16","15","","15.100995","14.879997","14.959008","14.840998","","1.960860","1.346008","1.882269","1.028479"
"","18","15","17","16","","16.355009","16.135988","16.198023","16.088985","","2.047158","1.403622","1.972366","1.062945"
"","19","16","18","17","","17.605017","17.394009","17.444012","17.330986","","2.129111","1.451980","2.052912","1.080698"
"","20","17","19","18","","18.858015","18.611017","18.716005","18.586016","","2.205292","1.472889","2.124382","1.073402"
"","22","19","20","20","","20.126011","19.876005","19.959023","19.824011","","2.286401","1.530592","2.187821","1.046190"
"","23","20","21","21","","21.390984","21.117975","21.199003","21.061010","","2.347887","1.560467","2.284999","1.049030"
"","25","21","22","22","","22.643002","22.386034","22.456018","22.334009","","2.401934","1.607250","2.330536","1.018715"
"","26","22","23","23","","23.892014","23.647018","23.702990","23.584984","","2.468985","1.652431","2.381929","1.012616"
"","27","24","24","25","","25.178015","24.874001","24.949001","24.847013","","2.544286","1.712364","2.430001","1.000366"
"","28","25","25","26","","26.429995","26.132984","26.207993","26.077005","","2.592185","1.720525","2.496531","1.000275"
"","29","26","26","27","","27.676996","27.361004","27.447002","27.338001","","2.637109","1.747732","2.559199","0.976781"
"","30","27","27","28","","28.933994","28.605997","28.675997","28.581993","","2.660348","1.772439","2.610685","0.971581"
"","31","28","28","29","","30.217001","29.854004","29.923996","29.864006","","2.701070","1.783390","2.652398","0.983227"
"","33","29","30","30","","31.477001","31.105019","31.183002","31.128004","","2.773427","1.791108","2.722709","0.950560"
"","34","30","31","31","","32.745003","32.352024","32.428020","32.384037","","2.842913","1.829360","2.783531","0.953189"
